,id,frame,x [nm],y [nm],knn,status,knn_set_group,knn_frames,barcodes,gene
52,63.0,4.0,42.52018284014065,234.33867629446357,"[7, 49, 62, 178]",confirmed,4.0,"[0.0, 3.0, 4.0, 15.0]",1001100000000001,Gdc1
53,59.0,4.0,86.5807976316931,157.50682702577552,"[40, 58, 71, 84]",confirmed,4.0,"[3.0, 4.0, 5.0, 6.0]",0001111000000000,Proz
54,62.0,4.0,113.49266121508845,190.49296875798802,"[14, 24, 43, 61]",confirmed,4.0,"[1.0, 2.0, 3.0, 4.0]",0111100000000000,Fgb
55,52.0,4.0,114.56511120688576,5.456594265661066,"[10, 19, 51]",corrected,3.0,"[1.0, 2.0, 4.0]",0111100000000000,Fgb
56,57.0,4.0,116.47847464840176,125.50911453717121,"[4, 36, 56, 169]",confirmed,4.0,"[0.0, 3.0, 4.0, 15.0]",1001100000000001,Gdc1
57,60.0,4.0,141.5044599453125,160.49752688816497,"[5, 41, 59, 172]",confirmed,4.0,"[0.0, 3.0, 4.0, 15.0]",1001100000000001,Gdc1
58,54.0,4.0,149.49581346962873,36.49762385828664,"[11, 21, 29, 53]",confirmed,4.0,"[1.0, 2.0, 3.0, 4.0]",0111100000000000,Fgb
59,64.0,4.0,180.50070147269557,242.5329579381346,"[8, 50, 63, 179]",confirmed,4.0,"[0.0, 3.0, 4.0, 15.0]",1001100000000001,Gdc1
60,55.0,4.0,186.78374607319654,38.37170578325953,"[54, 64, 77]",corrected,3.0,"[4.0, 5.0, 6.0]",0001111000000000,Proz
61,58.0,4.0,188.5803801892638,144.58518375766337,"[37, 57, 70, 83]",confirmed,4.0,"[3.0, 4.0, 5.0, 6.0]",0001111000000000,Proz
62,61.0,4.0,230.46777791239683,178.4619052952742,"[6, 42, 60, 173]",confirmed,4.0,"[0.0, 3.0, 4.0, 15.0]",1001100000000001,Gdc1
63,53.0,4.0,240.44931781624214,17.657886335080057,"[20, 28, 52, 154]",unconfirmed,3.0,"[2.0, 3.0, 4.0, 14.0]",0011100000000010,
64,70.0,5.0,36.52995626532857,115.52451755044196,"[34, 55, 69, 81]",confirmed,4.0,"[3.0, 4.0, 5.0, 6.0]",0001111000000000,Proz
65,68.0,5.0,64.51890858834186,86.54869161712735,"[67, 79, 91, 101]",confirmed,4.0,"[5.0, 6.0, 7.0, 8.0]",0000011110000000,Cfi
66,72.0,5.0,86.5311287522904,157.4374647776041,"[40, 58, 71, 84]",confirmed,4.0,"[3.0, 4.0, 5.0, 6.0]",0001111000000000,Proz
67,76.0,5.0,106.51210432667122,224.51213694392402,"[75, 87, 97, 106]",confirmed,4.0,"[5.0, 6.0, 7.0, 8.0]",0000011110000000,Cfi
68,69.0,5.0,128.48255508416284,98.54258370951312,"[32, 68, 80]",corrected,3.0,"[3.0, 5.0, 6.0]",0001111000000000,Proz
69,73.0,5.0,165.41529033447085,184.4720572064111,"[72, 85, 96]",corrected,3.0,"[5.0, 6.0, 7.0]",0000011110000000,Cfi
70,75.0,5.0,173.57697205107243,212.38732361684643,"[17, 47, 74]",corrected,3.0,"[1.0, 3.0, 5.0]",0101010000000001,Pzp
71,74.0,5.0,174.41758096031242,194.4538469956684,"[15, 45, 73, 175]",confirmed,4.0,"[1.0, 3.0, 5.0, 15.0]",0101010000000001,Pzp
72,65.0,5.0,186.48466626694687,38.50324647600903,"[54, 64, 77]",corrected,3.0,"[4.0, 5.0, 6.0]",0001111000000000,Proz
73,71.0,5.0,188.42543353160585,144.47614182592298,"[37, 57, 70, 83]",confirmed,4.0,"[3.0, 4.0, 5.0, 6.0]",0001111000000000,Proz
74,66.0,5.0,210.4849117645837,39.558556755718094,"[65, 78, 100, 154]",unconfirmed,3.0,"[5.0, 6.0, 8.0, 14.0]",0000011010000010,
75,67.0,5.0,220.56803042134584,64.47705441520057,"[12, 31, 66, 164]",confirmed,4.0,"[1.0, 3.0, 5.0, 15.0]",0101010000000001,Pzp
76,77.0,5.0,248.45550921546604,230.5129622755544,"[76, 89, 98, 107]",confirmed,4.0,"[5.0, 6.0, 7.0, 8.0]",0000011110000000,Cfi
77,87.0,6.0,7.500033417229416,194.5152382337806,"[25, 44, 86, 174]",confirmed,4.0,"[2.0, 3.0, 6.0, 15.0]",0011001000000001,Timp3
78,82.0,6.0,36.399422632799364,115.53289924822084,"[34, 55, 69, 81]",confirmed,4.0,"[3.0, 4.0, 5.0, 6.0]",0001111000000000,Proz
79,80.0,6.0,64.51399854355853,86.5096721437809,"[67, 79, 91, 101]",confirmed,4.0,"[5.0, 6.0, 7.0, 8.0]",0000011110000000,Cfi
80,85.0,6.0,86.34850280154976,157.5265383145624,"[40, 58, 71, 84]",confirmed,4.0,"[3.0, 4.0, 5.0, 6.0]",0001111000000000,Proz
81,88.0,6.0,106.47404627192729,224.4853555677668,"[75, 87, 97, 106]",confirmed,4.0,"[5.0, 6.0, 7.0, 8.0]",0000011110000000,Cfi
82,81.0,6.0,128.450905442471,98.48776355634371,"[32, 68, 80]",corrected,3.0,"[3.0, 5.0, 6.0]",0001111000000000,Proz
83,89.0,6.0,151.37563603083055,227.5443131133729,"[26, 48, 88, 177]",confirmed,4.0,"[2.0, 3.0, 6.0, 15.0]",0011001000000001,Timp3
84,86.0,6.0,165.3029518259089,184.60966609433413,"[72, 85, 96]",corrected,3.0,"[5.0, 6.0, 7.0]",0000011110000000,Cfi
85,83.0,6.0,176.50661582762436,124.4603829209868,"[22, 35, 82, 168]",confirmed,4.0,"[2.0, 3.0, 6.0, 15.0]",0011001000000001,Timp3
86,78.0,6.0,186.489665313081,38.5092233554492,"[54, 64, 77]",corrected,3.0,"[4.0, 5.0, 6.0]",0001111000000000,Proz
87,84.0,6.0,188.56070247734056,144.46348283461091,"[37, 57, 70, 83]",confirmed,4.0,"[3.0, 4.0, 5.0, 6.0]",0001111000000000,Proz
88,79.0,6.0,210.51227404907144,39.52949609810594,"[65, 78, 100, 154]",unconfirmed,3.0,"[5.0, 6.0, 8.0, 14.0]",0000011010000010,
89,90.0,6.0,248.43076868290126,230.58360439369858,"[76, 89, 98, 107]",confirmed,4.0,"[5.0, 6.0, 7.0, 8.0]",0000011110000000,Cfi
90,96.0,7.0,58.510952348618574,178.49572116408916,"[46, 95, 105, 123]",unconfirmed,3.0,"[3.0, 7.0, 8.0, 10.0]",0001000110100000,
91,92.0,7.0,64.52269422160869,86.51982959339935,"[67, 79, 91, 101]",confirmed,4.0,"[5.0, 6.0, 7.0, 8.0]",0000011110000000,Cfi
92,93.0,7.0,71.49400777426398,99.45041748317419,"[92, 102, 111, 119]",confirmed,4.0,"[7.0, 8.0, 9.0, 10.0]",0000000111100000,Aldob
93,95.0,7.0,84.62353534238605,102.50264387540588,"[94, 104, 113, 121]",confirmed,4.0,"[7.0, 8.0, 9.0, 10.0]",0000000111100000,Aldob
94,98.0,7.0,106.47748679403804,224.54364384439083,"[75, 87, 97, 106]",confirmed,4.0,"[5.0, 6.0, 7.0, 8.0]",0000011110000000,Cfi
95,94.0,7.0,124.47802677266672,99.53880924426096,"[93, 103, 112, 120]",confirmed,4.0,"[7.0, 8.0, 9.0, 10.0]",0000000111100000,Aldob
96,97.0,7.0,165.49186671125878,184.54289441591564,"[72, 85, 96]",corrected,3.0,"[5.0, 6.0, 7.0]",0000011110000000,Cfi
97,91.0,7.0,173.47920274834775,20.534425330915468,"[90, 99, 108, 117]",confirmed,4.0,"[7.0, 8.0, 9.0, 10.0]",0000000111100000,Aldob
98,99.0,7.0,248.61940024561082,230.5215191503297,"[76, 89, 98, 107]",confirmed,4.0,"[5.0, 6.0, 7.0, 8.0]",0000011110000000,Cfi
99,106.0,8.0,58.51236554075688,178.5065211368761,"[46, 95, 105, 123]",unconfirmed,3.0,"[3.0, 7.0, 8.0, 10.0]",0001000110100000,
100,102.0,8.0,64.37621646621174,86.54016194686989,"[67, 79, 91, 101]",confirmed,4.0,"[5.0, 6.0, 7.0, 8.0]",0000011110000000,Cfi
101,103.0,8.0,71.49731527940794,99.46983811584344,"[92, 102, 111, 119]",confirmed,4.0,"[7.0, 8.0, 9.0, 10.0]",0000000111100000,Aldob
102,105.0,8.0,84.47976911966427,102.57693238229277,"[94, 104, 113, 121]",confirmed,4.0,"[7.0, 8.0, 9.0, 10.0]",0000000111100000,Aldob
103,107.0,8.0,106.48571787214271,224.46304887156958,"[75, 87, 97, 106]",confirmed,4.0,"[5.0, 6.0, 7.0, 8.0]",0000011110000000,Cfi
104,104.0,8.0,124.524886615583,99.4852732324642,"[93, 103, 112, 120]",confirmed,4.0,"[7.0, 8.0, 9.0, 10.0]",0000000111100000,Aldob
105,100.0,8.0,173.46591253738544,20.550971140227304,"[90, 99, 108, 117]",confirmed,4.0,"[7.0, 8.0, 9.0, 10.0]",0000000111100000,Aldob
106,101.0,8.0,210.47323660995548,39.49767968194138,"[65, 78, 100, 154]",unconfirmed,3.0,"[5.0, 6.0, 8.0, 14.0]",0000011010000010,
107,108.0,8.0,248.46203619675853,230.463124846492,"[76, 89, 98, 107]",confirmed,4.0,"[5.0, 6.0, 7.0, 8.0]",0000011110000000,Cfi
108,111.0,9.0,10.554355961121232,97.47599122788569,"[110, 130, 139, 167]",unconfirmed,3.0,"[9.0, 11.0, 12.0, 15.0]",0000000001011001,
109,112.0,9.0,71.54719316276464,99.47141076486523,"[92, 102, 111, 119]",confirmed,4.0,"[7.0, 8.0, 9.0, 10.0]",0000000111100000,Aldob
110,114.0,9.0,84.54491794330316,102.515915403695,"[94, 104, 113, 121]",confirmed,4.0,"[7.0, 8.0, 9.0, 10.0]",0000000111100000,Aldob
111,117.0,9.0,107.52574709115585,216.53853162394375,"[116, 125, 134, 143]",confirmed,4.0,"[9.0, 10.0, 11.0, 12.0]",0000000001111000,Cxadr
112,113.0,9.0,124.44687633069513,99.52528865053934,"[93, 103, 112, 120]",confirmed,4.0,"[7.0, 8.0, 9.0, 10.0]",0000000111100000,Aldob
113,115.0,9.0,140.40027500155364,148.53466913648282,"[114, 122, 131, 140]",confirmed,4.0,"[9.0, 10.0, 11.0, 12.0]",0000000001111000,Cxadr
114,110.0,9.0,158.48150038526109,96.47677178599022,"[109, 118, 129, 138]",confirmed,4.0,"[9.0, 10.0, 11.0, 12.0]",0000000001111000,Cxadr
115,109.0,9.0,173.40021704442054,20.477535852498786,"[90, 99, 108, 117]",confirmed,4.0,"[7.0, 8.0, 9.0, 10.0]",0000000111100000,Aldob
116,116.0,9.0,190.4861980819727,200.53852771064288,"[115, 124, 132, 141]",confirmed,4.0,"[9.0, 10.0, 11.0, 12.0]",0000000001111000,Cxadr
117,124.0,10.0,58.405210043117215,178.5046684409355,"[46, 95, 105, 123]",unconfirmed,3.0,"[3.0, 7.0, 8.0, 10.0]",0001000110100000,
118,120.0,10.0,71.39503716549567,99.49645827335104,"[92, 102, 111, 119]",confirmed,4.0,"[7.0, 8.0, 9.0, 10.0]",0000000111100000,Aldob
119,122.0,10.0,84.4941055862788,102.57607459222635,"[94, 104, 113, 121]",confirmed,4.0,"[7.0, 8.0, 9.0, 10.0]",0000000111100000,Aldob
120,126.0,10.0,107.49373683090587,216.64468047561863,"[116, 125, 134, 143]",confirmed,4.0,"[9.0, 10.0, 11.0, 12.0]",0000000001111000,Cxadr
121,121.0,10.0,124.52776259169292,99.59428645176115,"[93, 103, 112, 120]",confirmed,4.0,"[7.0, 8.0, 9.0, 10.0]",0000000111100000,Aldob
122,123.0,10.0,140.5494542728318,148.5397877376747,"[114, 122, 131, 140]",confirmed,4.0,"[9.0, 10.0, 11.0, 12.0]",0000000001111000,Cxadr
123,119.0,10.0,158.5016610948081,96.51791024946384,"[109, 118, 129, 138]",confirmed,4.0,"[9.0, 10.0, 11.0, 12.0]",0000000001111000,Cxadr
124,118.0,10.0,173.39073812656375,20.508149640181703,"[90, 99, 108, 117]",confirmed,4.0,"[7.0, 8.0, 9.0, 10.0]",0000000111100000,Aldob
125,125.0,10.0,190.48196547650574,200.47274211741933,"[115, 124, 132, 141]",confirmed,4.0,"[9.0, 10.0, 11.0, 12.0]",0000000001111000,Cxadr
126,131.0,11.0,10.591497156615707,97.47357272246134,"[110, 130, 139, 167]",unconfirmed,3.0,"[9.0, 11.0, 12.0, 15.0]",0000000001011001,
127,129.0,11.0,54.48483280008397,84.56359583666429,"[128, 137, 149, 158]",confirmed,4.0,"[11.0, 12.0, 13.0, 14.0]",0000000000011110,Vcam1
128,135.0,11.0,107.42041957427149,216.68550659396172,"[116, 125, 134, 143]",confirmed,4.0,"[9.0, 10.0, 11.0, 12.0]",0000000001111000,Cxadr
129,132.0,11.0,140.50721337140394,148.4959438779033,"[114, 122, 131, 140]",confirmed,4.0,"[9.0, 10.0, 11.0, 12.0]",0000000001111000,Cxadr
130,134.0,11.0,141.391004888935,206.35344029424832,"[133, 142, 152, 161]",confirmed,4.0,"[11.0, 12.0, 13.0, 14.0]",0000000000011110,Vcam1
131,128.0,11.0,145.51322097485792,57.507972027431286,"[127, 136, 146, 156]",confirmed,4.0,"[11.0, 12.0, 13.0, 14.0]",0000000000011110,Vcam1
132,130.0,11.0,158.4848697885051,96.53800871680895,"[109, 118, 129, 138]",confirmed,4.0,"[9.0, 10.0, 11.0, 12.0]",0000000001111000,Cxadr
133,133.0,11.0,190.49293840798683,200.49713257243988,"[115, 124, 132, 141]",confirmed,4.0,"[9.0, 10.0, 11.0, 12.0]",0000000001111000,Cxadr
134,127.0,11.0,204.3439225147099,23.470597125287384,"[100, 126, 135, 154]",unconfirmed,3.0,"[8.0, 11.0, 12.0, 14.0]",0000000010011010,
135,140.0,12.0,10.452719326056652,97.46834047470577,"[110, 130, 139, 167]",unconfirmed,3.0,"[9.0, 11.0, 12.0, 15.0]",0000000001011001,
136,138.0,12.0,54.48066559812491,84.54883953620377,"[128, 137, 149, 158]",confirmed,4.0,"[11.0, 12.0, 13.0, 14.0]",0000000000011110,Vcam1
137,144.0,12.0,107.4435729974567,216.46610934824105,"[116, 125, 134, 143]",confirmed,4.0,"[9.0, 10.0, 11.0, 12.0]",0000000001111000,Cxadr
138,141.0,12.0,140.41069382439505,148.50103422578837,"[114, 122, 131, 140]",confirmed,4.0,"[9.0, 10.0, 11.0, 12.0]",0000000001111000,Cxadr
139,143.0,12.0,141.54443784274468,206.50886191386033,"[133, 142, 152, 161]",confirmed,4.0,"[11.0, 12.0, 13.0, 14.0]",0000000000011110,Vcam1
140,137.0,12.0,145.51175204037511,57.45058274814922,"[127, 136, 146, 156]",confirmed,4.0,"[11.0, 12.0, 13.0, 14.0]",0000000000011110,Vcam1
141,139.0,12.0,158.52223011325086,96.51345047410778,"[109, 118, 129, 138]",confirmed,4.0,"[9.0, 10.0, 11.0, 12.0]",0000000001111000,Cxadr
142,142.0,12.0,190.44699576936168,200.4985048679137,"[115, 124, 132, 141]",confirmed,4.0,"[9.0, 10.0, 11.0, 12.0]",0000000001111000,Cxadr
143,136.0,12.0,204.47346272192158,23.492570158887748,"[100, 126, 135, 154]",unconfirmed,3.0,"[8.0, 11.0, 12.0, 14.0]",0000000010011010,
144,148.0,13.0,48.57182816951674,66.50453091272084,"[2, 147, 165]",corrected,3.0,"[0.0, 13.0, 15.0]",1000000000000111,E2f2
145,150.0,13.0,54.52210969484735,84.47049636566724,"[128, 137, 149, 158]",confirmed,4.0,"[11.0, 12.0, 13.0, 14.0]",0000000000011110,Vcam1
146,151.0,13.0,66.47173139642328,91.46103790497914,"[3, 150, 159, 166]",confirmed,4.0,"[0.0, 13.0, 14.0, 15.0]",1000000000000111,E2f2
147,145.0,13.0,67.42143647809644,8.4073000172963,"[0, 144, 153, 162]",confirmed,4.0,"[0.0, 13.0, 14.0, 15.0]",1000000000000111,E2f2
148,153.0,13.0,141.46590710403342,206.55259501347638,"[133, 142, 152, 161]",confirmed,4.0,"[11.0, 12.0, 13.0, 14.0]",0000000000011110,Vcam1
